Actinium	1050	3198	10.07
Aluminum	660.323	2519	2.7
Americium	1176	2011	13.67
Antimony	903.78	1860	6.697
Cadmium	321.07	767	8.65
Calcium	842	1484	1.55
Californium	900	-9999	15.1
Carbon	3823	4098	2.26
Cerium	798	3424	6.689
Cesium	301.59	944	1.879
Argon	-189.35	-185.85	1.784
Arsenic	817	-9999	5.727
Astatine	302	610	-9999
Barium	727	1897	3.51
Berkelium	1922	-9999	14.78
Beryllium	1287	2471	1.848
Bismuth	271.4	1564	9.78
Bohrium	-9999	-9999	-9999
Boron	2075	4000	2.45
Bromine	-7.2	58.8	3.12
Chlorine	-101.5	-34.04	3.214
Chromium	1907	2671	7.19
Cobalt	1495	2927	8.9
Copernicium	-9999	-9999	-9999
Copper	1357.77	2835	8.96
Curium	1340	3110	13.51
Darmstadtium	-9999	-9999	-9999
Dubnium	-9999	-9999	-9999
Dysprosium	1412	2567	8.551
Einsteinium	860	-9999	-9999
Erbium	1529	2868	9.066
Europium	822	1529	5.244
Fermium	1527	-9999	-9999
Fluorine	-219.62	-188.12	1.696
Francium	300	-9999	-9999
Gadolinium	1312	3273	7.901
Gallium	29.7646	2204	5.904
Germanium	938.25	2833	5.323
Gold	1337.33	3129	19.3
Hafnium	2233	4603	13.31
Hassium	-9999	-9999	-9999
Helium	-272.2	-268.93	0.1785
Holmium	1461	2720	8.795
Hydrogen	-259.14	-252.87	0.0899
Indium	156.6	2072	7.31
Iodine	113.7	184.3	4.94
Iridium	2446	4428	22.56
Iron	1811	3134	7.874
Krypton	-157.36	-153.22	3.75
Lanthanum	920	3464	6.146
Lawrencium	1627	-9999	-9999
Lead	600.61	2022	11.34
Lithium	180.5	1342	0.535
Lutetium	1663	3402	-9999
Magnesium	650	1090	1.738
Manganese	1246	2061	7.47
Meitnerium	-9999	-9999	-9999
Mendelevium	827	-9999	-9999
Mercury	234.32	629.88	13.534
Molybdenum	2623	4639	10.28
Neodymium	1024	3074	7.01
Neon	-248.59	-246.08	0.9
Neptunium	-9999	-9999	20.45
Nickel	1455	2913	8.908
Niobium	2477	4744	8.57
Nitrogen	-210	-195.79	1.251
Nobelium	827	-9999	-9999
Osmium	3033	5012	22.59
Oxygen	-218.79	-182.95	1.429
Palladium	1554.9	2963	12.023
Phosphorus	44.2	277	1.823
Platinum	1768.3	3825	21.45
Plutonium	639.4	3228	19.816
Polonium	254	962	9.196
Potassium	63.38	759	0.856
Praseodymium	935	3520	6.64
Promethium	1042	3000	7.264
Protactinium	1568	-9999	15.37
Radium	700	1737	5
Radon	-71.15	-61.85	9.73
Rhenium	3186	5596	21.02
Rhodium	1964	3695	12.45
Roentgenium	-9999	-9999	-9999
Rubidium	39.31	688	1.532
Ruthenium	2334	4150	12.37
Rutherfordium	-9999	-9999	-9999
Samarium	1072	1794	7.353
Scandium	1541	2836	2.985
Seaborgium	-9999	-9999	-9999
Selenium	221	685	2.985
Silicon	1414	3265	2.33
Silver	1234.93	2435	10.49
Sodium	370.95	1156	0.968
Strontium	777	1382	2.63
Sulfur	115.21	444.6	1.96
Tantalum	3017	5458	16.65
Technetium	2157	4265	11.5
Tellurium	449.51	988	6.24
Terbium	1356	3230	8.219
Thallium	304	1473	11.85
Thorium	1842	4788	11.724
Thulium	1545	1950	9.32
Tin	505.08	2875	7.31
Titanium	1668	3287	4.507
Tungsten	3695	5828	19.25
Ununhexium	-9999	-9999	-9999
Ununoctium	-9999	-9999	-9999
Ununium	-9999	-9999	-9999
Ununpentium	-9999	-9999	-9999
Ununquadium	-9999	-9999	-9999
Ununseptium	-9999	-9999	-9999
Ununtrium	-9999	-9999	-9999
Uranium	1132.2	4131	19.05
Vanadium	1910	3407	6.11
Xenon	-111.7	-108.12	5.9
Ytterbium	824	1196	6.57
Yttrium	1526	3336	4.472
Zinc	419.53	907	7.14
Zirconium	1855	4409	6.511
